processed_intent,processed_class,processed_attributes,processed_filter_attributes,processed_key_quantity,id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
ADD,student,"{'name': 'anderson martins gomes', 'age': '20'}",{},,efc91be6-45d1-40ab-97da-ad1f35f1b518,"add student with name=anderson martins gomes, age=20",ADD,student,"{'name': 'Anderson Martins Gomes', 'age': '20'}",{},2,ORIGINAL
ADD,subject,{},{},,2ef960c4-bb41-4b00-90c5-9d45eee1e752,"add subject with name=brazilian history, description=the history of brazil",ADD,subject,"{'name': 'Brazilian History', 'description': 'The history of Brazil'}",{},2,ORIGINAL
ADD,teacher,"{'name': 'paulo henrique', 'age': '65', '_': 'br'}",{},,a05ad2f6-3090-41ff-92da-a682f7c5a947,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",ADD,teacher,"{'name': 'Paulo Henrique', 'age': '65', 'email': 'ph@uece.br'}",{},3,ORIGINAL
ADD,subject,{'best_subject': 'ever'},{},,65bad339-58e7-4d85-aa57-0937b020d104,"add subject with name=math, description=the best subject ever",ADD,subject,"{'name': 'Math', 'description': 'The best subject ever'}",{},2,ORIGINAL
ADD,subject,{'best_subject': 'ever!'},{},,f64cf7e1-0d18-4a73-b585-03fa0b29b2e7,"add subject with name=math, description='the best subject ever!'",ADD,subject,"{'name': 'Math', 'description': 'The best subject ever!'}",{},2,ORIGINAL
ADD,student,{'name': 'anderson'},{},,67890da0-601e-47dd-9289-4bf2557d2005,add student name=anderson,ADD,student,{'name': 'Anderson'},{},1,ORIGINAL
READ,student,{'name': 'anderson'},{},,3b46aa8b-3ff8-4aa1-938d-bf15ac674ab9,get students with name anderson,READ,student,{},{'name': 'anderson'},1,ORIGINAL
READ,the,{'teachers': ''},{},,97f876ec-a883-4985-90fd-5ba23c10a653,show me the teachers,READ,teacher,{},{},0,ORIGINAL
READ,teacher,{},{},,76b13a45-6f48-4312-871d-8225906c5b8f,show teachers,READ,teacher,{},{},0,ORIGINAL
,,None,None,,1fd2058d-e18c-4506-940d-464b654f2f89,show teacher,READ,teacher,{},{},0,ORIGINAL
ADD,outcome,"{'date': 'is today', 'numbers': ''}",{},,145532c4-61e0-4f9e-bf08-e1403b04bfaf,"include outcome value 900, date is today, and description is ""adjusting the numbers""",ADD,outcome,"{'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}",{},3,ORIGINAL
READ,in,{'invoices': ''},{},,af4fbaf8-d28f-46cb-9321-38ef6239f070,get invoices,READ,invoice,{},{},0,ORIGINAL
ADD,test,"{'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},,be9be60b-1063-4acf-a4eb-08eb54900e13,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",ADD,test,"{'scope': 'Module X', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},4,ORIGINAL
ADD,test,"{'scope': 'module', 'y': '', 'number': '8'}",{},,8c8aca3a-51e4-4a68-a789-c59c4b0cde37,add a test with scope=module y and number = 8,ADD,test,"{'scope': 'Module Y', 'number': '8'}",{},2,ORIGINAL
ADD,student,"{'name': 'anderson', 'age': '199'}",{},,5b86fafa-08d9-4634-9f8b-ca509dda9609,"add student with name=anderson, age=199",ADD,student,"{'name': 'Anderson', 'age': '199'}",{},2,ORIGINAL
DELETE,student,"{'name': 'is anderson', 'age': 'is 199'}",{},,5ad33b13-4f09-4500-954e-c8255de5299c,"delete student name is anderson, and age is 199",DELETE,student,{},"{'name': 'Anderson', 'age': '199'}",2,ORIGINAL
ADD,article,{},{},,1b529fc6-5651-4e1b-8bcd-60ebd0909354,"add article with title=the title, author=the author",ADD,article,"{'title': 'The title', 'author': 'The author'}",{},2,ORIGINAL
