processed_intent,processed_class,processed_attributes,processed_filter_attributes,processed_key_quantity,id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
ADD,student,"{'name': 'anderson martins gomes', 'age': '20'}",{},,88016fbb-3969-41e3-a348-d8c5632e735c,"add student with name=anderson martins gomes, age=20",ADD,student,"{'name': 'Anderson Martins Gomes', 'age': '20'}",{},2,ORIGINAL
ADD,subject,"{'name': 'brazilian history', 'description': 'the history of brazil'}",{},,b074d52f-af9e-4cae-822b-b3833042eebf,"add subject with name=brazilian history, description=the history of brazil",ADD,subject,"{'name': 'Brazilian History', 'description': 'The history of Brazil'}",{},2,ORIGINAL
ADD,teacher,"{'name': 'paulo henrique', 'age': '65', '_': 'br'}",{},,38183015-7960-4333-8abb-81b2dddf8c8a,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",ADD,teacher,"{'name': 'Paulo Henrique', 'age': '65', 'email': 'ph@uece.br'}",{},3,ORIGINAL
ADD,subject,"{'name': 'math', 'description': 'the best subject ever'}",{},,75e12a39-382c-4f84-a861-58299890b9d0,"add subject with name=math, description=the best subject ever",ADD,subject,"{'name': 'Math', 'description': 'The best subject ever'}",{},2,ORIGINAL
ADD,subject,"{'name': 'math', 'description': 'the best subject ever!'}",{},,e57520eb-f0c8-4203-8e46-4ea125fb73c5,"add subject with name=math, description='the best subject ever!'",ADD,subject,"{'name': 'Math', 'description': 'The best subject ever!'}",{},2,ORIGINAL
ADD,student,{'name': 'anderson'},{},,8ef6b064-3a7d-4cf7-b207-536c652a4072,add student name=anderson,ADD,student,{'name': 'Anderson'},{},1,ORIGINAL
READ,student,{'name': 'anderson'},{},,9eabbfb1-075c-499e-bff9-adb3dc3839a8,get students with name anderson,READ,student,{},{'name': 'anderson'},1,ORIGINAL
READ,teacher,{},{},,0a9eece1-d1bf-4d3d-bff1-9c45ffc09ff4,show me the teachers,READ,teacher,{},{},0,ORIGINAL
READ,teacher,{},{},,439aee62-bb0f-4b61-b67d-47577c8f6663,show teachers,READ,teacher,{},{},0,ORIGINAL
DELETE,show,{'teacher': ''},{},,132153ff-470c-4471-9c35-73699872956b,show teacher,READ,teacher,{},{},0,ORIGINAL
ADD,outcome,"{'date': 'is today', 'description': 'is 'adjusting the numbers'}",{},,7a28d319-3c0a-4551-8319-402f6e8476df,"include outcome value 900, date is today, and description is ""adjusting the numbers""",ADD,outcome,"{'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}",{},3,ORIGINAL
READ,in,{'invoices': ''},{},,400b64b9-521a-4f58-b046-e25e46d0927a,get invoices,READ,invoice,{},{},0,ORIGINAL
ADD,test,"{'scope': 'module', 'x': '', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},,a1115a28-06a0-4460-b278-9f19c6006ff4,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",ADD,test,"{'scope': 'Module X', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},4,ORIGINAL
ADD,test,"{'scope': 'module', 'y': '', 'number': '8'}",{},,9c4b07fb-ad09-40b3-bfba-93d805726a29,add a test with scope=module y and number = 8,ADD,test,"{'scope': 'Module Y', 'number': '8'}",{},2,ORIGINAL
ADD,student,"{'name': 'anderson', 'age': '199'}",{},,e5bfe2e4-5ac5-4ef2-8ec9-65374d8f1a00,"add student with name=anderson, age=199",ADD,student,"{'name': 'Anderson', 'age': '199'}",{},2,ORIGINAL
DELETE,student,"{'name': 'is anderson', 'age': 'is 199'}",{},,7dac0d67-bb71-49a1-a096-71074ad7aaab,"delete student name is anderson, and age is 199",DELETE,student,{},"{'name': 'Anderson', 'age': '199'}",2,ORIGINAL
ADD,article,"{'title': 'the title', 'author': 'the author'}",{},,1aba6dd7-fc19-47f3-8bc0-9de4194b499e,"add article with title=the title, author=the author",ADD,article,"{'title': 'The title', 'author': 'The author'}",{},2,ORIGINAL
UPDATE,,None,None,,10f10570-3d3d-41d4-ad2f-50e21934afb2,"update article with title ""the title"" and author ""the author"" set the title to ""the new title""",UPDATE,article,{'title': 'The new title'},"{'title': 'The title', 'author': 'The author'}",3,ORIGINAL
ADD,ad,{'author': 'anderson'},{},,7ba30fe3-20de-4279-9a44-9dd912e263ae,add article with author=anderson,ADD,article,{'author': 'Anderson'},{},1,ORIGINAL
DELETE,article,{'author': 'anderson'},{},,d0f97817-63ad-4866-a0ce-2f5bf032f75f,"delete article when author=""anderson""",DELETE,article,{},{'author': 'Anderson'},1,ORIGINAL
READ,article,{},{},,1b948235-10bf-4a51-ae44-6c1a65826c4c,show me the articles,READ,article,{},{},0,ORIGINAL
ADD,article,"{'title': 'the title', 'author': 'the author', 'abstract': 'the abstract', 'keywords': 'the keywords'}",{},,e7b6873d-a075-4f46-addc-1d9938d24428,"add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords",ADD,article,"{'title': 'The title', 'author': 'The author', 'abstract': 'The abstract', 'keywords': 'The keywords'}",{},4,ORIGINAL
UPDATE,,None,None,,2861499f-75ab-4608-b742-5ed710bd760d,"update article with title ""the title"", setting the co-author as ""anderson gomes""",UPDATE,article,{'co_author': 'Anderson Gomes'},{'title': 'The title'},2,ORIGINAL
UPDATE,article,{'first_author': 'as 'paulo maia'},{'id': '1'},,d95277fe-161d-47bd-a9f3-8ad427cb3e92,"update article with id=1, setting the first author as ""paulo maia""",UPDATE,article,{'first_author': 'Paulo Maia'},{'id': '1'},2,ORIGINAL
READ,st,{'students': ''},{},,bf8aef02-eb2c-416c-9bb6-29ce708908a2,show all students,READ,student,{},{},0,ORIGINAL
READ,student,{},{},,e270ab02-84f7-424a-802d-f71792acb017,view students,READ,student,{},{},0,ORIGINAL
READ,student,{},{},,801c7ec3-6f2c-48db-844a-8ed6777ac2a4,fetch the students,READ,student,{},{},0,ORIGINAL
READ,student,{},{},,c3565171-98b0-4a02-af55-c318968df397,get the students,READ,student,{},{},0,ORIGINAL
UPDATE,student,{},None,,7b061d2d-c3c3-4c0c-92b1-c3e9b69d4d92,"for the students with name='anderson', update the name to 'anderson martins'",UPDATE,student,{'name': 'Anderson Martins'},{'name': 'Anderson'},2,ORIGINAL
UPDATE,student,{},None,,adc9abe8-be0a-4a85-a99a-d9a810d7aeff,please change student with name paulo update age to 30,UPDATE,student,{'age': '30'},{'name': 'Paulo'},2,ORIGINAL
